Sr. No.,Client Name,Credit Limit,Address,City,State,ZIP Code,Contact Person Name,Contact Person Mobile,Contact Person Mobile 2 (Optional),Contact Person Email (Optional),GST No,Client Category
N128,Om Sai Communication,3000,Dadar West,Mumbai,Maharashtra,400028,Om Sai Communication,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N129,Om sai Ram Vada Pav,3000,Elphinston,Mumbai,Maharashtra,400014,Om sai Ram Vada Pav,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N130,Om sairam icecream,3000,Prabhadevi,Mumbai,Maharashtra,400025,Om sairam icecream,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N131,Om Stores,3000,Prabhadevi,Mumbai,Maharashtra,400025,Om Stores,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N132,Panday Panbeedi,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,Panday Panbeedi,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N133,Parsi Bakery,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,Parsi Bakery,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N134,Prabhadevi Bhelpuri,3000,Prabhadevi,Mumbai,Maharashtra,400025,Prabhadevi Bhelpuri,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N135,Pragati General store,3000,Prabhadevi,Mumbai,Maharashtra,400025,Pragati General store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N136,Pranjal - Siddhivinayak Store,3000,Prabhadevi,Mumbai,Maharashtra,400025,Pranjal - Siddhivinayak Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N137,Premacha chaha,3000,Elphinston,Mumbai,Maharashtra,400014,Premacha chaha,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N138,R R communication,3000,Mahim,Mumbai,Maharashtra,400016,R R communication,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N139,Radhe Krishna Dairy,3000,Prabhadevi,Mumbai,Maharashtra,400025,Radhe Krishna Dairy,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N140,Ravindra Store,3000,Prabhadevi,Mumbai,Maharashtra,400025,Ravindra Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N141,Riddhi Siddhi Bhojnalay,3000,Elphinston,Mumbai,Maharashtra,400014,Riddhi Siddhi Bhojnalay,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N142,S G Gupta store,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,S G Gupta store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N143,S K Gupta store,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,S K Gupta store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N144,Sachidanand P/B Shop,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,Sachidanand P/B Shop,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N145,sadguru icecream,3000,Dadar West,Mumbai,Maharashtra,400028,sadguru icecream,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N146,sadhana snacks,3000,Elphinston,Mumbai,Maharashtra,400014,sadhana snacks,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N147,Saidham Pan Bidi,3000,Dadar West,Mumbai,Maharashtra,400028,Saidham Pan Bidi,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N148,Sairaj Enterprises,3000,Matunga West,Mumbai,Maharashtra,400016,Sairaj Enterprises,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N149,salim Panbeedi,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,salim Panbeedi,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N150,Sambhaji Panbeedi shop,3000,Prabhadevi,Mumbai,Maharashtra,400025,Sambhaji Panbeedi shop,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N151,Sanjay Enterprise,3000,Dadar West,Mumbai,Maharashtra,400028,Sanjay Enterprise,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N152,Sanjay General Store,3000,Matunga West,Mumbai,Maharashtra,400016,Sanjay General Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N153,sanvi supermarket,3000,New Prabhadevi,Mumbai,Maharashtra,400025,sanvi supermarket,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N154,Sarvottam Milk Centre,3000,Dadar West,Mumbai,Maharashtra,400028,Sarvottam Milk Centre,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N155,sharda beedi shop,3000,Dadar West,Mumbai,Maharashtra,400028,sharda beedi shop,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N156,Shivam General Stores,3000,"Koli Wada, Worli",Mumbai,Maharashtra,400030,Shivam General Stores,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N157,Shri Krishna dairy,3000,"Koli Wada, Worli",Mumbai,Maharashtra,400030,Shri Krishna dairy,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N158,Shri Krishna Hotel,3000,Dadar West,Mumbai,Maharashtra,400028,Shri Krishna Hotel,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N159,Shri Radha Krishna Dairy,3000,"Koli Wada, Worli",Mumbai,Maharashtra,400030,Shri Radha Krishna Dairy,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N160,Shri Ram Avadh pan bhandhar,3000,Elphinston,Mumbai,Maharashtra,400014,Shri Ram Avadh pan bhandhar,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N161,Shri sadhguru Krupa,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,Shri sadhguru Krupa,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N162,Shri Sai Communication,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,Shri Sai Communication,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N163,Shri Sai Siddhi Bhojanalay,3000,Elphinston,Mumbai,Maharashtra,400014,Shri Sai Siddhi Bhojanalay,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N164,Shri Siddhivinayak Farsan Mart,3000,Prabhadevi,Mumbai,Maharashtra,400025,Shri Siddhivinayak Farsan Mart,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N165,Shri Siddhivinayak General Store,3000,Worli,Mumbai,Maharashtra,400018,Shri Siddhivinayak General Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N166,Shri Siddhivinayak Ice Cream Parlor,3000,Prabhadevi,Mumbai,Maharashtra,400025,Shri Siddhivinayak Ice Cream Parlor,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N167,Shri siddhivinayak milk center,3000,Elphinston,Mumbai,Maharashtra,400014,Shri siddhivinayak milk center,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N168,Siddhivinayak aarey,3000,Prabhadevi,Mumbai,Maharashtra,400025,Siddhivinayak aarey,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N169,siddhivinayak fast food,3000,Elphinston,Mumbai,Maharashtra,400014,siddhivinayak fast food,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N170,Sonu General Store,3000,Elphinston,Mumbai,Maharashtra,400014,Sonu General Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N171,Subhash Biscuites,3000,Prabhadevi,Mumbai,Maharashtra,400025,Subhash Biscuites,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N172,Sujata Dryfruit,3000,Dadar West,Mumbai,Maharashtra,400028,Sujata Dryfruit,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N173,Sundaram super Market,3000,Elphinston,Mumbai,Maharashtra,400014,Sundaram super Market,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N174,Super Roll Frankie,3000,Prabhadevi,Mumbai,Maharashtra,400025,Super Roll Frankie,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N175,Sushmita PCO,3000,Matunga West,Mumbai,Maharashtra,400016,Sushmita PCO,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N176,Swami Samarth ,3000,Prabhadevi,Mumbai,Maharashtra,400025,Swami Samarth ,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N177,Swastik Sandwhich Corner,3000,Elphinston,Mumbai,Maharashtra,400014,Swastik Sandwhich Corner,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N178,Swati communication,3000,Dadar West,Mumbai,Maharashtra,400028,Swati communication,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N179,Tiana Store,3000,Dadar West,Mumbai,Maharashtra,400028,Tiana Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N180,Ujjwal Dry Fruites,3000,Dadar West,Mumbai,Maharashtra,400028,Ujjwal Dry Fruites,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N181,Umashankar Panbeedi,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,Umashankar Panbeedi,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N182,Vaishnavi General Store,3000,Prabhadevi,Mumbai,Maharashtra,400025,Vaishnavi General Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N183,Vinayak Store,3000,Prabhadevi,Mumbai,Maharashtra,400025,Vinayak Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N184,Vindhyavasini General Store,3000,Elphinston,Mumbai,Maharashtra,400014,Vindhyavasini General Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N185,Welcome Store,3000,Prabhadevi,Mumbai,Maharashtra,400025,Welcome Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N186,Western Railway Society,3000,Matunga West,Mumbai,Maharashtra,400016,Western Railway Society,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N187,Xerox Store,3000,Dadar West,Mumbai,Maharashtra,400028,Xerox Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N188,Zakharia Caterers,3000,Dadar West,Mumbai,Maharashtra,400028,Zakharia Caterers,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N189,Zunka Bhakar,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,Zunka Bhakar,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N190,A C N Fibre Private Limited,3000,"Akbar House, Shop No. 8, N.F. Road, Behind Taj Hotel,Nawroji Furdunji St., Colaba, Mumbai",Mumbai,Maharashtra,400005,A C N Fibre Private Limited,8291151617,,Prathmesh@deliverifynow.com,27AAPCA7216E1ZN,Corporate
N191,Chamunda,3000,"8th Lane, Kamati Pura",Mumbai,Maharashtra,400008,Chamunda,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N192,CHIP COM,3000,"207/208, Aaditya Arcade, 2nd Floor, Topiwala Lane,Laminton Road, Mumbai. 400007",Mumbai,Maharashtra,400007,CHIP COM,8291151617,,Prathmesh@deliverifynow.com,27AACCC4318E1Z1,Corporate
N193,Classic Travel Shoppe Pvt Ltd,3000,"4/4A, 482 Ground Floor,Sangharajka House,S. V. P Road, Opera House, Opera House, Mumbai - 400004",Mumbai,Maharashtra,400004,Classic Travel Shoppe Pvt Ltd,8291151617,,Prathmesh@deliverifynow.com,27AAACC4354N1ZG,Corporate
N194,D.A.Technologies,3000,"383, Walker House, Ground Floor,,Lamington Road, Grant Road (E),, Mumbai, Maharashtra 400007",Mumbai,Maharashtra,400007,D.A.Technologies,8291151617,,Prathmesh@deliverifynow.com,27AACPM5890Q1ZW,Corporate
N195,Galaxy Infotech,3000,"30, Shop No 2, 152, Agairy Lane,Modi Street, Fort, Mumbai - 400001",Mumbai,Maharashtra,400001,Galaxy Infotech,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N196,H.N.INFOTEK,3000,"Office No.12,1st Floor,Shanti Niketan,Padmaji Road,Near Dreamland Cinema,Grant Road(E), Mumbai - 400004",Mumbai,Maharashtra,400004,H.N.INFOTEK,8291151617,,Prathmesh@deliverifynow.com,27AALFH2477B1ZF,Corporate
N197,I Stop India,3000,"Shuklaji Street, Kamati Pura",Mumbai,Maharashtra,400008,I Stop India,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N198,Jagdish Bhai,3000,"Shop No-A1, Shuklaji Street, Kamati Pura",Mumbai,Maharashtra,400008,Jagdish Bhai,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N199,Jogani Infotech Pvt Ltd,3000,"Office No: B,1ST Floor,7 Shanti Niwas,Tara Temple Lane,Lamington Road,Mumbai - 400007",Mumbai,Maharashtra,400007,Jogani Infotech Pvt Ltd,8291151617,,Prathmesh@deliverifynow.com,27AACCJ7277R1ZN,Corporate
N200,King Tech,3000,"Second Floor, Yamuna Bldg, Lamington Rd.",Mumbai,Maharashtra,400007,King Tech,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N201,Laptop Station,3000,"339 Rajesh Building,Shop No 49,Opposite Lamington Road, Police Station,Grant Road€",Mumbai,Maharashtra,400001,Laptop Station,8291151617,,Prathmesh@deliverifynow.com,27CQCPB2946J1ZV,Corporate
N202,Libra Infotech,3000,"Shop No.1, 317-A, Pahelvi Building,Opp 2 Lamington Road,Police Station,D.B.Marg, Grant Road, Mumbai - 400007,",Mumbai,Maharashtra,400007,Libra Infotech,8291151617,,Prathmesh@deliverifynow.com,27AVSPB5815F1ZI,Corporate
N203,Mahavir Laptop Spares,3000,"315,1st Floor Pahelvi Blgd, R.No. 1A,New Empire Hotel Lamington Road,Mumbai - 400004",Mumbai,Maharashtra,400004,Mahavir Laptop Spares,8291151617,,Prathmesh@deliverifynow.com,27BFYPJ4755F1ZV,Corporate
N204,Max World IT Solution,3000,"Shop No. 2, Ground Floor,Katayun Mansion, 290 Lamington Road Procter Rd,Grant Road East,Mumbai, Maharashtra 400007",Mumbai,Maharashtra,400007,Max World IT Solution,8291151617,,Prathmesh@deliverifynow.com,27ASJPJ2196F1ZL,Corporate
N205,Mccann Info Solution,3000,"Laxmi Compound Bldg., Gr Flr. Shop No.:15/392,Opp.Vasant Bhavan Hotel, Grant Road,(East),Mumbai 400004",Mumbai,Maharashtra,400004,Mccann Info Solution,8291151617,,Prathmesh@deliverifynow.com,27ABAPJ2234L1ZT,Corporate
N206,Mccann Infosys,3000,"347/45 Rajesh Building Ground Floor,Opposite Lamington Road Police Station,Dr D B Marg, Grant Road, Mumbai - 400007",Mumbai,Maharashtra,400007,Mccann Infosys,8291151617,,Prathmesh@deliverifynow.com,27AMHPM0681L1ZP,Corporate
N207,Megahertz,3000,"4B, 2nd Floor Fir Mistry Building,Nr.Dreamland Cinema, Lamington Road,Grant Road(W),Mumbai 400004",Mumbai,Maharashtra,400004,Megahertz,8291151617,,Prathmesh@deliverifynow.com,27ARPPV9109H1Z2,Corporate
N208,Micronn,3000,"Yamuna Building, Lamington Rd, Krishna Kunj,Grant Road East, Shapur Baug, Grant Road, Mumbai, Maharashtra 400007",Mumbai,Maharashtra,400007,Micronn,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N209,Modern Technologies NX,3000,"Hanuman Terrace, Ground Floor, Shop Number. 1,373, Lamington Rd, Grant Road East, Grant Road,Mumbai, Maharashtra 400007",Mumbai,Maharashtra,400007,Modern Technologies NX,8291151617,,Prathmesh@deliverifynow.com,27AAAHJ4011N1ZD,Corporate
N210,My Laptop World,3000,"53/333,Rajesh Bldg, Lamington Road Police Stn.,Grant Road(E) Mumbai 400007",Mumbai,Maharashtra,400007,My Laptop World,8291151617,,Prathmesh@deliverifynow.com,27ARKPB2702M1ZV,Corporate
N211,New Link,3000,Lamington Rd,Mumbai,Maharashtra,400007,New Link,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N212,Raj Tilak,3000,Grant Road,Mumbai,Maharashtra,400007,Raj Tilak,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N213,Rajguru International,3000,"Shop No.21,Yamuna Building,Tara Temple,Lamington Road,Grant Road East,Mumbai - 400007",Mumbai,Maharashtra,400007,Rajguru International,8291151617,,Prathmesh@deliverifynow.com,27ACIPJ6870D1ZI,Corporate
N214,RAJGURU PERIPHERALS,3000,"shop no 307 3rd floor, aadtiya arcade,topiwala lane,Lamington Rd, Grant Road East, Mumbai, Maharashtra 400007",Mumbai,Maharashtra,400007,RAJGURU PERIPHERALS,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N215,Real Tech,3000,"Shop No:13, Yamuna Building,Topiwala Lane, Lamington Road,, Mumbai, Maharashtra 400007",Mumbai,Maharashtra,400007,Real Tech,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N216,Right Solution,3000,"Ground Floor, Janta Electronics,Om Niwas Building, 295,Opposite, Lamington Rd, Grant Road East,Mumbai, Maharashtra 400007.",Mumbai,Maharashtra,400007,Right Solution,8291151617,,Prathmesh@deliverifynow.com,27AODPJ2147L1ZV,Corporate
N217,Technology Value,3000,"Shop No.106,1st Floor, Aaditya Arcade,Topiwala Lane,Opp.D.B. Marg Police Station,Lamington Road,Grant Road (E) Mumbai 400007",Mumbai,Maharashtra,400007,Technology Value,8291151617,,Prathmesh@deliverifynow.com,27AQWPJ0326Q1Z5,Corporate
N218,V.R.Infotech,3000,"Ground Floor, Trimurty Building,Tribhuvan Road, Grant Road, Mumbai - 400004,",Mumbai,Maharashtra,400004,V.R.Infotech,8291151617,,Prathmesh@deliverifynow.com,27AFJPM1267R1ZQ,Corporate
N219,Ultra Guard,3000,"Shop No 2, Hilla Height, Alibhai Premji Marg, Grant Road, Grant Road, Mumbai, Maharashtra 400007",Mumbai,Maharashtra,400007,Ultra Guard,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N220,Garden Hotel,30000,Kamathipura,Mumbai,Maharashtra,400008,Garden Hotel,8291151617,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,HoReCa
N221,Mumbai Wines,30000,"Shop no 3, opp shriram mills main gate, S.S Amrutwar Marg, Lower Parel West",Mumbai,Maharashtra,400013,Living Liquidz,9920521723,2224985765,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N222,Elorra Wines,30000,"shop no 14, santacruz mansion, near bus depot and santacruz railway station.",mumbai,Maharashtra,400055,Living liquidz,8169323754,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N223,Star hotel uttan ,30000,"star hotel, conzita apartment, shop no 1, uttan , bhayander west ",mumbai,maharashtra,401106,Living Liquidz,2228450221,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N224,Lemon Mira Road,30000,"Sai anand plaza, shop no 3/4, opp golden nest, mira bhayander road, Mira road east",Mumbai,Maharashtra,401107,Lemon Salon,8976203915,,Prathmesh@deliverifynow.com,27AIKPD5078K1ZW,HoReCa
N225,Lemon Irla,30000,"Shop no 12, Majethia apartment, S. V road , Irla, Vileparle west",Mumbai,Maharashtra,400056,Lemon Salon,8291372214,,Prathmesh@deliverifynow.com,27AIKPD5078K1ZW,HoReCa
N226,Lemon Kandivali,30000,"Shop no 2 Vaishali CHS, M.G road, Kandivali west",Mumbai,Maharashtra,400067,Lemon Salon,9082886384,,Prathmesh@deliverifynow.com,27AIKPD5078K1ZW,HoReCa
N227,Yamuna Wines,30000,"House no 3017, Prahar, Vasai phata, near shree krisgna bar, vasai east",Mumbai,Maharashtra,401208,Living Liquidz,9304805731,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N228,Wine Korner,30000,"shop no 2. bld no 4, opp air india colony, D'souza compound, Kalina, santacruz east",Mumbai,Maharashtra,400029,Living Liquidz,9619959241,2226662821,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N229,The Wine Table powai,30000,"shop no 4 B, ventura shopping centre, Hiranandani park, powai",Mumbai,Maharashtra,400076,Living Liquidz,9987920846,9833238060,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N230,The Wine Table bandra,30000,"Darvesh royale bld, perry road, pali hill, bandra west",Mumbai,Maharashtra,400050,Living Liquidz,8425857730,8425857731,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N231,T2 beer Shop,30000,"gala no . W8/2141, Terminal chatrapati shivaji international, airport, sahar road, andheri east",Mumbai,Maharashtra,400099,Living Liquidz,9970615987,8767118809,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N232,star wines,30000,"G/6, fish market road, Saraswati Baug, prem nagar , jogeshwari east",Mumbai,Maharashtra,400060,Living Liquidz,2228370359,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N233,Spirits of mumbai,30000,"Chatrapati shivaji maharaj international airport, Terminal 1B, arrivals, opp parcos, santacruz east",Mumbai,Maharashtra,400099,Living Liquidz,9594950790,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N234,silver coin,30000,"shop no 1, jharna apartment, Dr ambedkar road, khar west mumbai",Mumbai,Maharashtra,400052,Living Liquidz,9702715701,2226496743,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N235,octega green,30000,"shop no 22, ground floor, big bazaar, viviana mall, thane west",Mumbai,Maharashtra,400603,Living Liquidz,8422837111,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N236,nalasopara beer shop,30000,"meheta chambers co-operative housing society, 10, nalasopara ast",Mumbai,Maharashtra,401209,Living Liquidz,9892948883,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N237,moksh wines,30000,"shop no 5, Brijkutir shopping centre, 68 A, napeansea road, mumbai",Mumbai,Maharashtra,400006,Living Liquidz,6900053000,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N238,manoj beer shop,30000,"Mumbai Wines & trades, hypercity, lower ground floor, inorbit mall, sec 30A, vashi,",Mumbai,Maharashtra,400703,Living Liquidz,9930075535,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N239,larani wines,30000,"Terminal 2, level 2, arrival, mumbai international airport, andheri east",Mumbai,Maharashtra,400099,Living Liquidz,9702705801,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N240,kings wines,30000,"G7, ground floor, high Street phoenix, Palladium Mall, Lower Parel , mumbai",Mumbai,Maharashtra,400013,Living Liquidz,8422837333,6900091000,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N241,asha wines,30000,"shop no 3, Hypercity india pvt ltd, A-28-A, link road , goregaon",Mumbai,Maharashtra,400062,Living Liquidz,9702715710,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
